course_title,institution,link,course_type,course_duration,competency_1,proficiency_levels_1,competency_2,proficiency_levels_2,competency_3,proficiency_levels_3,competency_4,proficiency_levels_4,competency_5,proficiency_levels_5,competency_6,proficiency_levels_6,competency_7,proficiency_levels_7,competency_8,proficiency_levels_8,competency_9,proficiency_levels_9,competency_10,proficiency_levels_10,competency_11,proficiency_levels_11,competency_12,proficiency_levels_12,competency_13,proficiency_levels_13,competency_14,proficiency_levels_14,competency_15,proficiency_levels_15,competency_16,proficiency_levels_16,competency_17,proficiency_levels_17,competency_18,proficiency_levels_18,competency_19,proficiency_levels_19,competency_20,proficiency_levels_20,competency_21,proficiency_levels_21,competency_22,proficiency_levels_22,competency_23,proficiency_levels_23,competency_24,proficiency_levels_24,competency_25,proficiency_levels_25,competency_26,proficiency_levels_26,competency_27,proficiency_levels_27,competency_28,proficiency_levels_28,competency_29,proficiency_levels_29,competency_30,proficiency_levels_30,competency_31,proficiency_levels_31,competency_32,proficiency_levels_32,competency_33,proficiency_levels_33,competency_34,proficiency_levels_34,competency_35,proficiency_levels_35,competency_36,proficiency_levels_36,competency_37,proficiency_levels_37,competency_38,proficiency_levels_38,competency_39,proficiency_levels_39,competency_40,proficiency_levels_40,competency_41,proficiency_levels_41,competency_42,proficiency_levels_42,competency_43,proficiency_levels_43,competency_44,proficiency_levels_44,competency_45,proficiency_levels_45,competency_46,proficiency_levels_46,competency_47,proficiency_levels_47,competency_48,proficiency_levels_48,competency_49,proficiency_levels_49,competency_50,proficiency_levels_50
"Leadership, Motivation and Accountability for High Performance Audit Organizations (AUDT9010)",Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT9010,,,Accountability,"3,4,5",Interpersonal Skills,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional Polish in the Public Sector,AGA,https://www.agacgfm.org/Training/GroupTraining/CourseDetails.aspx?ID=49,,,Attention to Detail,"1,2,3",Conflict Management,"1,2",Customer Service,"1,2,3",Interpersonal Skills,"1,2",Oral Communications,"1,2,3",Written Communications,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessing Controls in Performance Audits (AUDT8021),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8021,,,Business Process Improvement,"1,2,3",Risk Management,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Contract Administration (ACQI7500),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ACQI7500,,,Business Process Improvement,1,Contract Management,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conducting Performance Audits (AUDT7002),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT7002,,,Business Process Improvement,"1,2",Decision Support,"1,2,3",Decision Support - Audit Execution,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Project and Program Management (ACQI7110),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ACQI7110,,,Business Process Improvement,"1,2",Project Management,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing for Results (EXEC9913),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/EXEC9913,,,Business Process Improvement,"1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Project: Introduction (PROJ7015),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/PROJ7015,,,Business Process Improvement,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Work Statements (ACQI8519),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ACQI8519,,,Business Process Improvement,"1,2",Written Communications,3,Contract Management,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Contract Management (ACQI8030),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ACQI8030,,,Business Process Improvement,1,Digital Collaboration,"2,3",Contract Management,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Performance Auditing (AUDT8046),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8046,,,Business Process Improvement,"2,3",Decision Support,"2,3,4",Decision Support - Audit Execution,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive Approaches to Difficult People (COMM7009),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/COMM7009,,,Conflict Management,"1,2,3",Interpersonal Skills,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal Control & Fraud Prevention Training,AGA,https://www.agacgfm.org/Events/Fraud/Home.aspx,,,Conflict Management,"1,2,3,4",Critical Thinking,"1,2,3",Influencing and Negotiating,"1,2,3,4",Integrity and Honesty,"1,2,3,4,5","Data Analytics, Management, and Visualization","1,2,3",Financial Stewardship,"1,2,3,4,5",Enterprise Perspective,"1,2,3,4,5",Risk Management,"1,2,3,4",Audit Planning and Management,"1,2,3,4,5",Audit Reporting,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0407 Conflict Management,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409060,,,Conflict Management,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative and Critical Thinking for Auditors (AUDT8012),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8012,,,Critical Thinking,"2,3,4",Innovative Thinking,"2,3,4",Problem Solving,"2,3,4",Flexibility,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Service Excellence (ADMB7003),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ADMB7003,,,Customer Service,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Service Excellence (ADMB7004),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/ADMB7004,,,Customer Service,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Communications with Customers (COMM8000),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/COMM8000,,,Customer Service,2,Oral Communications,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0314 Leadership Development I,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2417723,,,Developing Others,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Governmental Environment (live, virtual)",AGA,https://www.agacgfm.org/CGFM/Candidates/PreparingforExams/CGFMVirtualCourses.aspx,,,Digital Collaboration,"1,2",Integrity and Honesty,"1,2,3,4","Budget Concepts, Policies and Principles","1,2,3","Budget Formulation, Justification, and Presentation","1,2,3",Enterprise Perspective,"1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
