course_title,institution,link,course_type,course_duration,competency_1,proficiency_levels_1,competency_2,proficiency_levels_2,competency_3,proficiency_levels_3,competency_4,proficiency_levels_4,competency_5,proficiency_levels_5,competency_6,proficiency_levels_6,competency_7,proficiency_levels_7,competency_8,proficiency_levels_8,competency_9,proficiency_levels_9,competency_10,proficiency_levels_10,competency_11,proficiency_levels_11,competency_12,proficiency_levels_12,competency_13,proficiency_levels_13,competency_14,proficiency_levels_14,competency_15,proficiency_levels_15,competency_16,proficiency_levels_16,competency_17,proficiency_levels_17,competency_18,proficiency_levels_18,competency_19,proficiency_levels_19,competency_20,proficiency_levels_20,competency_21,proficiency_levels_21,competency_22,proficiency_levels_22,competency_23,proficiency_levels_23,competency_24,proficiency_levels_24,competency_25,proficiency_levels_25,competency_26,proficiency_levels_26,competency_27,proficiency_levels_27,competency_28,proficiency_levels_28,competency_29,proficiency_levels_29,competency_30,proficiency_levels_30,competency_31,proficiency_levels_31,competency_32,proficiency_levels_32,competency_33,proficiency_levels_33,competency_34,proficiency_levels_34,competency_35,proficiency_levels_35,competency_36,proficiency_levels_36,competency_37,proficiency_levels_37,competency_38,proficiency_levels_38,competency_39,proficiency_levels_39,competency_40,proficiency_levels_40,competency_41,proficiency_levels_41,competency_42,proficiency_levels_42,competency_43,proficiency_levels_43,competency_44,proficiency_levels_44,competency_45,proficiency_levels_45,competency_46,proficiency_levels_46,competency_47,proficiency_levels_47,competency_48,proficiency_levels_48,competency_49,proficiency_levels_49,competency_50,proficiency_levels_50
Coaching Skills for Today's Leaders (MGMT9002),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/MGMT9002,,,Developing Others,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leadership Essentials (MGMT7020),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/MGMT7020,,,Developing Others,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Teams and Groups (TDEV8200),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/TDEV8200,,,Developing Others,"2,3,4",Team Building,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0317 Leadership Development II,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2417730,,,Developing Others,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELA 0440 Leading Thriving Organizations,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2089171&selectedProgramAreaId=18214&selectedProgramStreamId,,,Developing Others,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Change (MGMT7201),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/MGMT7201,,,Developing Others,"3,4,5",Flexibility,2,Resilience,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading People (EXEC9912),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/EXEC9912,,,Developing Others,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentoring Skills (MGMT7006),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/MGMT7006,,,Developing Others,"3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0403 Mastering Change,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2417827,,,Flexibility,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negotiating Techniques (MGMT9104 & 9105),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/MGMT9104,,,Influencing and Negotiating,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0426 Negotiating for Joint Gain,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409689,,,Influencing and Negotiating,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Creating A Culture of Diversity, Equity, Inclusion and Accessibility in Government (MGMT8011)",Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/MGMT8011,,,Leveraging Diversity,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Your Role in Creating a Culture of Diversity, Equity, Inclusion and Accessibility in Government (DEIA) (MGMT8012)",Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/MGMT8012,,,Leveraging Diversity,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget Justification and Presentation (BUDG7102),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/BUDG7102,,,Oral Communications,"3,4",Written Communications,"3,4",Fundamentals and Operations of Budget,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparing to Lead in the 21st Century (MGMT9020),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/MGMT9020,,,Problem Solving,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Project: Introduction 2016 (PROJ7015),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/PROJ7015,,,Project Management,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMP 0400 Project Management Essentials,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=54715,,,Project Management,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Agile Project Management (PROJ7010),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/PROJ7010,,,Project Management,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles for Managing Projects (PGMT7012),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/PGMT7012,,,Project Management,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overview of Project Management (PROJ7020),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/PROJ7020,,,Project Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional Certificate in Technical Project Management (with MIT xPro),Emeritus,https://executive-ed.mit.edu/applied-business-analytics/index/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Project Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Leadership (PGMT8010),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/PGMT8010,,,Project Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Management Essentials (PGMT7007),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/PGMT7007,,,Project Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMP 0401 Project Management Certification: PMP® Exam Preparation,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409729,,,Project Management,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PMP 0402 Project Estimating, Measures, and Controls",George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=54737&selectedProgramAreaId=18210&selectedProgramStreamId=,,,Project Management,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMP 0406 Managing Project Risk,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=54819&courseTitle=managing-project-risk&selectedProgramAreaId=18210&selectedProgramStreamId=25461,,,Project Management,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMP 0407 Agile Fundamentals,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2433517,,,Project Management,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0402 Leading Change,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2417742,,,Resilience,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executive Survival Skills (EXEC9911),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/EXEC9911,,,Resilience,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0408 Building and Managing Effective Teams,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409052,,,Team Building,"3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0421 Building High Performance Teams,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409054,,,Team Building,"3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Webinar - Cybersecurity/ERM,AGA,https://www.agacgfm.org/Training/Webinars.aspx,,,Technology Proficiency,"1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial Intelligence (with Carnegie Mellon University School of Computer Science),Emeritus,https://execonline.cs.cmu.edu/introduction-artificial-intelligence/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity: Identity and Access Management (with MIT xPRO),Emeritus,https://executive-ed.xpro.mit.edu/cybersecurity-identity-access-management/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Software Engineering (with Carnegie Mellon University School of Computer Science),Emeritus,https://execonline.cs.cmu.edu/fundamentals-of-software-engineering/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python for Managers (Online) (with Columbia Business School Executive Education),Emeritus,https://online1.gsb.columbia.edu/columbia/python-for-managers/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back-End Development (with MIT xPRO),Emeritus,https://executive-ed.xpro.mit.edu/back-end-development/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Certificate in Cybersecurity Defense (with MIT xPRO),Emeritus,https://executive-ed.xpro.mit.edu/certificate-cybersecurity-defense/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Vision (with Carnegie Mellon University School of Computer Science),Emeritus,https://execonline.cs.cmu.edu/computer-vision/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity for Managers: A Playbook (with MIT Sloan Executive Education),Emeritus,https://executive-ed.mit.edu/cybersecurity/index/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science: Bridging Principles and Practice (with UC Berkeley Executive Education),Emeritus,https://em-executive.berkeley.edu/data-science/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Strategies for Business: Leading the Next-Generation Enterprise (with Columbia Business School Executive Education),Emeritus,https://online1.gsb.columbia.edu/digital-strategies/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Algorithms and Data Structures (with Carnegie Mellon University School of Computer Science),Emeritus,https://execonline.cs.cmu.edu/algorithms-data-structures/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning: Fundamentals and Algorithms (with Carnegie Mellon University School of Computer Science),Emeritus,https://execonline.cs.cmu.edu/machine-learning/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional Certificate in Cybersecurity (with MIT xPRO),Emeritus,https://executive-ed.xpro.mit.edu/professional-certificate-cybersecurity/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional Certificate in Machine Learning and Artificial Intelligence (with Imperial College Business School Executive Education),Emeritus,https://execed-online.imperial.ac.uk/professional-certificate-ml-ai/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional Certificate in UX Design for AR/VR (with NYU Tandon School of Engineering),Emeritus,https://em.online.engineering.nyu.edu/professional-certificate-ar-vr/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Programming with Python (with Carnegie Mellon University School of Computer Science),Emeritus,https://execonline.cs.cmu.edu/programming-python/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Development with JavaScript (with MIT xPRO),Emeritus,https://executive-ed.xpro.mit.edu/web-development-javascript/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,Technology Proficiency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparing Effective IG Semiannual Reports to Congress (AUDT8300),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8300,,,Written Communications,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executive Writing (WRIT9001),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/WRIT9001,,,Written Communications,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewing Other Peoples Report Writing (AUDT9502),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT9502,,,Written Communications,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0332 Intermediate Accounting,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409664,,,Accounting Analysis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0531 Foundations of Financial Reporting,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409624,,,Accounting Analysis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0332 Intermediate Accounting,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409665,,,Accounting Analysis,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0531 Foundations of Financial Reporting,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409625,,,Accounting Analysis,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0611 Advanced Issues in Financial Reporting,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2408933,,,Advanced Financial Management,"3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0772 Federal Accounting and Reporting,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409511,,,Advanced Financial Management,"3,4,5",Budget Execution,"4,5",Financial Reporting,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0461 Fundamentals of Government Auditing Standards and Practices,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409046,,,"Audit Concepts, Policies and Principles","3,4",Audit Planning and Management,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0461 Fundamentals of Government Auditing Standards and Practices,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409049,,,"Audit Concepts, Policies and Principles","3,4",Audit Planning and Management,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0461 Fundamentals of Government Auditing Standards and Practices,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409047,,,"Audit Concepts, Policies and Principles",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0465 Budget Execution and Management,George Mason University,https://cpe.gmu.edu/courses-and-programs/courses/gsa-cptt/gsa-cptt-pebu-0465-advanced-issues-in-managerial-accounting.php,,,Budget Execution,"3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0465 Budget Execution and Management,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409100,,,"Budget Formulation, Justification, and Presentation","3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Descriptive Statistics for Data Analysis (PGMT8200),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/PGMT8200,,,"Data Analytics, Management, and Visualization",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designing an Analytical Study (PGMT8005),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/PGMT8005,,,"Data Analytics, Management, and Visualization",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Digital Transformation: Leading People, Data & Technology (with UC Berkeley Executive Education)",Emeritus,https://executive-ed.xpro.mit.edu/robotics-essentials/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b,,,"Data Analytics, Management, and Visualization",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Management Analysis (PGMT7010),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/PGMT7010,,,"Data Analytics, Management, and Visualization",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools for Management Analysis (PGMT7006),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/PGMT7006,,,"Data Analytics, Management, and Visualization",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0361 Accounting Analytics,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2408918,,,"Data Analytics, Management, and Visualization",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0361 Accounting Analytics,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2408921,,,"Data Analytics, Management, and Visualization",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
