job_series,career_level,functional_competency_designation,competency,competency_group,compentency_description,proficiency_level,proficiency_level_definition,behavioral_illustrations,relevant_courses
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                     ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,5 Cybersecurity for Managers: A Playbook (with MIT Sloan Eexcutive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.mit.edu/cybersecurity/index/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                     ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,5 Cybersecurity for Managers: A Playbook (with MIT Sloan Eexcutive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.mit.edu/cybersecurity/index/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                     ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,5 Cybersecurity for Managers: A Playbook (with MIT Sloan Eexcutive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.mit.edu/cybersecurity/index/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                     ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,5 Cybersecurity for Managers: A Playbook (with MIT Sloan Eexcutive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.mit.edu/cybersecurity/index/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                 ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,6 Back-End Development (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/back-end-development/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                 ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,6 Back-End Development (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/back-end-development/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                 ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,6 Back-End Development (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/back-end-development/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                 ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,6 Back-End Development (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/back-end-development/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,7 Certificate in Cybersecurity Defense (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/certificate-cybersecurity-defense/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,7 Certificate in Cybersecurity Defense (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/certificate-cybersecurity-defense/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,7 Certificate in Cybersecurity Defense (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/certificate-cybersecurity-defense/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,7 Certificate in Cybersecurity Defense (with MIT xPRO)%%%Emeritus%%%Level 3 - Intermediate|||https://executive-ed.xpro.mit.edu/certificate-cybersecurity-defense/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,8 Cybersecurity: Identity and Access Management (with MIT xPRO)%%%Emeritus%%%Level 2 - Basic|||https://executive-ed.xpro.mit.edu/cybersecurity-identity-access-management/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,8 Cybersecurity: Identity and Access Management (with MIT xPRO)%%%Emeritus%%%Level 2 - Basic|||https://executive-ed.xpro.mit.edu/cybersecurity-identity-access-management/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
