job_series,career_level,functional_competency_designation,competency,competency_group,compentency_description,proficiency_level,proficiency_level_definition,behavioral_illustrations,relevant_courses
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",23 Digital Transformation: 5 Game-Changing Technologies for Business (with Imperial College Business School Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://execed-online.imperial.ac.uk/digital-transformation/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",23 Digital Transformation: 5 Game-Changing Technologies for Business (with Imperial College Business School Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://execed-online.imperial.ac.uk/digital-transformation/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",23 Digital Transformation: 5 Game-Changing Technologies for Business (with Imperial College Business School Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://execed-online.imperial.ac.uk/digital-transformation/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 4 - Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes," ? Demonstrates an interest in learning new technologies ? Applies advanced knowledge of technology to complete job tasks at an advanced level ? Improves or redesigns processes to make use of new technologies ?                                                                                                                                                                            Develops tools, job aids, or standard operating procedures to support adoption and use of organizational technology ?",23 Digital Transformation: 5 Game-Changing Technologies for Business (with Imperial College Business School Executive Education)%%%Emeritus%%%Level 4 - Advanced|||https://execed-online.imperial.ac.uk/digital-transformation/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,24 Professional Certificate in Machine Learning and Artificial Intelligence (with Imperial College Business School Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://execed-online.imperial.ac.uk/professional-certificate-ml-ai/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,24 Professional Certificate in Machine Learning and Artificial Intelligence (with Imperial College Business School Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://execed-online.imperial.ac.uk/professional-certificate-ml-ai/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,24 Professional Certificate in Machine Learning and Artificial Intelligence (with Imperial College Business School Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://execed-online.imperial.ac.uk/professional-certificate-ml-ai/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,24 Professional Certificate in Machine Learning and Artificial Intelligence (with Imperial College Business School Executive Education)%%%Emeritus%%%Level 3 - Intermediate|||https://execed-online.imperial.ac.uk/professional-certificate-ml-ai/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,25 Introduction to Algorithms and Data Structures (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/algorithms-data-structures/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,25 Introduction to Algorithms and Data Structures (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/algorithms-data-structures/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,25 Introduction to Algorithms and Data Structures (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/algorithms-data-structures/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,25 Introduction to Algorithms and Data Structures (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/algorithms-data-structures/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,26 Computer Vision (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/computer-vision/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,26 Computer Vision (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/computer-vision/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,26 Computer Vision (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/computer-vision/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,26 Computer Vision (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/computer-vision/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,27 Fundamentals of Software Engineering (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 2 - Basic|||https://execonline.cs.cmu.edu/fundamentals-of-software-engineering/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,27 Fundamentals of Software Engineering (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 2 - Basic|||https://execonline.cs.cmu.edu/fundamentals-of-software-engineering/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,27 Fundamentals of Software Engineering (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 2 - Basic|||https://execonline.cs.cmu.edu/fundamentals-of-software-engineering/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,27 Fundamentals of Software Engineering (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 2 - Basic|||https://execonline.cs.cmu.edu/fundamentals-of-software-engineering/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,28 Artificial Intelligence (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 2 - Basic|||https://execonline.cs.cmu.edu/introduction-artificial-intelligence/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,28 Artificial Intelligence (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 2 - Basic|||https://execonline.cs.cmu.edu/introduction-artificial-intelligence/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,28 Artificial Intelligence (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 2 - Basic|||https://execonline.cs.cmu.edu/introduction-artificial-intelligence/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Entry,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 2 - Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at an acceptable level ? Seeks out guidance from appropriate sources to complete tasks using commonly-used technology ?,28 Artificial Intelligence (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 2 - Basic|||https://execonline.cs.cmu.edu/introduction-artificial-intelligence/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,29 Machine Learning: Fundamentals and Algorithms (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/machine-learning/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,29 Machine Learning: Fundamentals and Algorithms (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/machine-learning/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,29 Machine Learning: Fundamentals and Algorithms (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/machine-learning/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,29 Machine Learning: Fundamentals and Algorithms (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/machine-learning/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,30 Programming with Python (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/programming-python/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,30 Programming with Python (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/programming-python/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,30 Programming with Python (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/programming-python/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0560 Budget Analysis,Mid,General Career Competencies,Technology Proficiency,Personal,"Applies existing technologies (e.g., software, applications, online systems and databases), within IT governance and rules, to meet organizational requirements. Shares technology knowledge with others in the organization. Identifies potential opportunities for the use of new or emerging technologies to improve business processes.                                          ",Level 3 - Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Uses required technology-related knowledge and skill to complete job tasks at a high level ? Participates in user level testing of new technology requirements ?                                                                                                                                                                                                                                    Shares technology expertise with others regarding standard applications ?,30 Programming with Python (with Carnegie Mellon University School of Computer Science)%%%Emeritus%%%Level 3 - Intermediate|||https://execonline.cs.cmu.edu/programming-python/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0501 Financial Administration and Program Support,Senior,General Career Competencies,Technology Proficiency,Personal,"Knowledge of the principles, methods, or tools for developing, scheduling, coordinating, and managing projects and resources, including monitoring and inspecting costs, work, and performance.                    ",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",?  Demonstrates an interest in continually learning new technologies ? Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job ?                                                                                                                                                                                                           Selects or develops new technological tools or approaches to improve processes ? Is actively sought out by others for expertise and knowledge of complex technology issues ?,31 Data Science & Analytics for Strategic Decisions (with Singapore Management University)%%%Emeritus%%%Level 5 - Expert|||https://smu.emeritus.org/data-science/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0510 Accounting,Senior,General Career Competencies,Technology Proficiency,Personal,"Knowledge of the principles, methods, or tools for developing, scheduling, coordinating, and managing projects and resources, including monitoring and inspecting costs, work, and performance.                    ",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",?  Demonstrates an interest in continually learning new technologies ? Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job ?                                                                                                                                                                                                           Selects or develops new technological tools or approaches to improve processes ? Is actively sought out by others for expertise and knowledge of complex technology issues ?,31 Data Science & Analytics for Strategic Decisions (with Singapore Management University)%%%Emeritus%%%Level 5 - Expert|||https://smu.emeritus.org/data-science/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
0511 Auditing,Senior,General Career Competencies,Technology Proficiency,Personal,"Knowledge of the principles, methods, or tools for developing, scheduling, coordinating, and managing projects and resources, including monitoring and inspecting costs, work, and performance.                    ",Level 5 - Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",?  Demonstrates an interest in continually learning new technologies ? Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job ?                                                                                                                                                                                                           Selects or develops new technological tools or approaches to improve processes ? Is actively sought out by others for expertise and knowledge of complex technology issues ?,31 Data Science & Analytics for Strategic Decisions (with Singapore Management University)%%%Emeritus%%%Level 5 - Expert|||https://smu.emeritus.org/data-science/enterprise/?b2c_form=true&utm_campaign=gsa&utm_source=b2b~~~
